name,address,borough,zip
Brooklyn Beer & Soda,507 Flatbush Ave,Brooklyn,11225
Brooklyn Fare,200 Schermerhorn St,Brooklyn,11217
Brooklyn Fare,431 W 37th St,New York,10018
Brooklyn Fare,666 Greenwich St,New York,10014
Brooklyn Gourmet,313 Bedford Ave,Brooklyn,11211
Brooklyn Market,8102 3rd Ave,Brooklyn,11209
Brooklyn Museum,200 Eastrn Parkway,Brooklyn,11238
Brooklyn Natural,49 Bogart St,Brooklyn,11206
Brooklyn Standard 2,766 Grand St,Brooklyn,11211
Broolkyn Bagel,2829 Coney Island Ave,Brooklyn,11235
Brothers Grocery,542 E 14th St,New York,10009
Brownies Cafe At Columbia,1172 Amsterdam Ave,New York,10027
Bushwick Deli & Grocery,285 Bushwick Ave,Brooklyn,11206
Bushwick Deli Grill,413 Bushwick Ave,Brooklyn,11206
Bushwick Deli,1449 Myrtle Ave,Brooklyn,11237
Butter Beans Kitchen @ Unicef,3 United Nations Plz,New York,10017
C - Town Baychester,98-02 Jamaica Ave,Woodhaven,11421
C-town - 2891 Sedgwick Ave,2891 Sedgwick Ave,Bronx,10468
C-town - 330 Utica,330 Utica Ave,Brooklyn,11213
C-town - 597 East 16th St,597 E 16th St,Brooklyn,11226
C-town - Astoria,40-12 28th Ave,Astoria,11103
C-town - Manhattan Ave,953 Manhattan Ave,Brooklyn,11222
C-town 18th Avenue,6614 18th Ave,Brooklyn,11204
C-town 4918 Bwy,4918 Broadway,New York,10034
C-town 5th Ave Bklyn,7510 5th Ave,Brooklyn,11209
C-town Ave U West,237 Avenue U,Brooklyn,11223
C-town Graham Ave,330 Graham Ave,Brooklyn,11211
C-town Market,74-39 Jamaica Ave,Woodhaven,11421
C-town Seans,41-25 Greenpoint Ave,Sunnyside,11104
C-town Supermarket,59-15 Roosevelt Ave,Woodside,11377
C-town,538 Main St,New Rochelle,10801
Cabanilla Corp,19-30 80th St,East Elmhurst,11370
Cafe Bravo,352 9th Ave,New York,10001
Cafe Europa - 2 Park Ave,2 Park Ave,New York,10016
Cafe Hestia,686 3rd Ave,New York,10017
Cafe One,1619 Amsterdam Ave,New York,10031
Cafe Take 5,560 Northern Blvd,Great Neck,11021
Caffe Benne,208 Avenue A,New York,10009
Campo Deli Grocery,216 Ave B,New York,10009
Campus Deli,1606 Amsterdam Ave,New York,10031
Canal Iconic Magazines,385 Canal St,New York,10013
Canal Street Newstand,52 Canal St,New York,10002
Cardsmart,3259 Richmond Ave,Staten Island,10312
Caton Ave Deli N Luchenoette,1818 Caton Ave,Brooklyn,11226
Catskill Bagel,1416 Cortelyou Rd,Brooklyn,11226
Central Organics,87 Central Ave,Brooklyn,11206
Chartwell - Bronxville School District,177 Pondfield Rd,Bronxville,10708
Chelsea Deli And Pizza,301 10th Ave,New York,10001
Chelsea Fine Food,300 8th Ave,New York,10001
Chelsea Hypermarket,366 W 23rd St,New York,10011
Chelsea Square Market,130 10th Ave,New York,10011
Cherry Tree,4051 Broadway,New York,10032
Cherry Valley M.p.,1115 Pennsylvania Ave,Brooklyn,11207
Cherry Valley Market,529 South Broadway,Yonkers,10705
Cherry Valley Marketplace - 97 Ave,84-12 97th Ave,Ozone Park,11416
Cherry Valley Marketplace -  Rockaway Bl,84-12 Rockaway Blvd,Ozone Park,11416
Cherry Valley,20-16 21st Ave,Astoria,11105
Cherry Valley,20-16 21st St,Astoria,11105
Chick Pea,2 W 46th St,New York,10036
Chick Pea,45 E 45th St,New York,10017
Church Ave Grill,1724 Church Ave,Brooklyn,11218
Church Avenue Food,111 Church Ave,Brooklyn,11218
Circle 7 Deli,1507 Gravesend Neck Rd,Brooklyn,11229
Circle Beverage,75-32 Parsons Blvd,Fresh Meadows,11366
Circle K,203 E Park Ave,Long Beach,11561
Citgo - Queens Blvd,36-20 Queens Blvd,Sunnyside,11101
Citgo,600 Pelham Pkwy S,Bronx,10462
City Acres Market,70 Pine St,New York,10005
City Fresh Market - 2212 3rd Ave,2212 3rd Ave,New York,10035
City Fresh Market -125 East 116,125 E 116th St,New York,10029
City Fresh Market,21-15 Broadway,Astoria,11106
City Gourmet Market,338 8th Ave,New York,10001
City Gourmet,535 9th Ave,New York,10018
Classic Service Car Wash,1859 Utica Ave,Brooklyn,11234
Clay Deli,1115 Manhattan Deli,Brooklyn,11222
Coco Moka,Penn Station,New York,10001
Coffee Z,30 Newkirk Plaza,Brooklyn,11226
Community Deli,857 E 241st St,Bronx,10470
Constellation Culinary - Cornell Tech,2 W Loop Rd,New York,10044
Convenience News,22-44 31st St,Astoria,11105
Convenience Store,1924 Kings Highway,Brooklyn,11229
Corner Grocers,140 Orchard St,New York,10002
Cozy Food Corp,565 Grand St,New York,10002
Crescent Gourmet Deli,27-02 Crescent St,Astoria,11102
Cross County Citco/car Wash,95 Vredenburgh Ave,Yonkers,10704
Crown Heights International Food,840 E New York Ave,Brooklyn,11203
Crowne Plaza Times Square,1605 Broadway,New York,10019
Culinart - Nyu Nursing School,433 1st Ave,New York,10010
Culinart- Norton Rose Fulbright,6th Ave & W 52nd St,New York,10019
Cvs #10112,W 125th St & Saint Nicholas Ave,New York,10027
Cvs #10112,W 125th St & St Nicholas Ave,New York,10027
Cvs #10530,475 6th Ave,New York,10011
Cvs #10613,5 Penn Plaza,New York,10001
Cvs #10654,757 3rd Ave,New York,10017
Cvs #10764,292 Madison Ave,New York,10017
Cvs #10826,1440 Broadway,New York,10018
Cvs #10828,51 Astor Place,New York,10003
Cvs #10970,305 E 86th St,New York,10028
Cvs #11014,969 2nd Ave,New York,10022
Cvs #11038,153-01 10th Ave,Whitestone,11357
Cvs #11075,2833 Broadway,New York,10025
Cvs #6766,75 Clinton St,Brooklyn,11201
Cvs#0122,310 W Park Ave,Long Beach,11561
Cvs#0144,219-39 89th Ave,Queens Village,11427
Cvs#02557,253 1st Ave,New York,10003
Cvs#0491,72-09 Northern Blvd,Jackson Heights,11372
Cvs#0522,625 North Ave,New Rochelle,10801
Cvs#0530,309 Main St,New Rochelle,10801
Cvs#0542,212-20 Northern Blvd,Bayside,11361
Cvs#0551,2030 Hillside Ave,New Hyde Park,11040
Cvs#0601,272 8th Ave,New York,10011
Cvs#0644,8430 New Utrecht Ave,Brooklyn,11214
Cvs#0677,2655 Richmond Ave,Staten Island,10314
Cvs#0745,594 Atlantic Ave,East Rockaway,11518
Cvs#0776,850 Bronx River Rd,Bronxville,10708
Cvs#0802,2320 Ralph Ave,Brooklyn,11234
Cvs#0845,395 Court St,Brooklyn,11231
Cvs#10041,500 W 23rd St,New York,10011
Cvs#10042,859 Manhattan Ave,Brooklyn,11222
Cvs#10086,30 Flatbush Ave,Brooklyn,11217
Cvs#10235,800 10th Ave,New York,10019
Cvs#10298,241 W 57th St,New York,10019
Cvs#10407,298 Mulberry St,New York,10012
Cvs#10426,505 New Rochelle Rd,Bronxville,10708
Cvs#10460,1172 3rd Ave,New York,10065
Cvs#1058,41-08 Queens Blvd,Sunnyside,11104
Cvs#10583,636 6th Ave,New York,10011
Cvs#10612,65 5th Ave,New York,10003
Cvs#10827,3535 Broadway,New York,10031
Cvs#1107,68-02 Myrtle Ave,Ridgewood,11385
Cvs#1113,89-11 Northern Blvd,Jackson Heights,11372
Cvs#1233,2444 Boston Post Rd,Larchmont,10538
Cvs#13019,218 Myrtle Ave,Brooklyn,11201
Cvs#1482,172-21 46th Ave,Flushing,11358
Cvs#1618,81 8th Ave,New York,10011
Cvs#1761,54-06 31st Ave,Woodside,11377
Cvs#1781,633 Merrick Rd,Lynbrook,11563
Cvs#1791,156 Henry St,Brooklyn,11201
Cvs#1906,215-08 73rd Ave,Oakland Gardens,11364
