name,address,borough,zip
Plaza Fruit & Grocery,37 Newkirk Plaza,Brooklyn,11226
Plaza Gourmet Deli,12 Newkirk Plaza,Brooklyn,11226
Pleroma,767 2nd Ave,New York,10017
Ponchos Gourmet Deli,1424 Sheepshead Bay Rd,Brooklyn,11235
Poppys Deli,191 Ave A,New York,10009
Presbyterian Deli,1081 Saint Nicholas Ave,New York,10032
Prestige Cafe & Deli,228 Fort Washington Ave,New York,10032
Prosultos Mexicanos,1105 Church Ave,Brooklyn,11218
Q Mart,4311 Broadway,New York,10033
Qnn Food,107 E 125th St,New York,10035
Queens North Task Force,137-58 Northern Blvd,Flushing,11354
Quentin Rd Convenience,1101 Quentin Rd,Brooklyn,11229
Quick Pick Convenience,136 Main St,East Rockaway,11518
Radhan Krishna,1806 Kings Hwy,Brooklyn,11229
Recreation At The Moxy,26 Ann St,New York,10038
Richmond Gourmet,1471 Richmond Ave,Staten Island,10314
Riverside Gourmet Market,3779 Broadway,New York,10032
Rivington Foods,210 Rivington St,New York,10002
Rma-scholastic Bldg,120 Mercer St,New York,10012
Rockaway Express,114-02 Rockaway Blvd,South Ozone Park,11420
Rockaway Gourmet,9627 Farragut Rd,Brooklyn,11236
Royal Finest Deli & Grill,37 1/2 W Grand St,Mount Vernon,10552
Royal Grocery,780 Metropolitan Ave,Brooklyn,11211
Ryder Joe Deli,1201 2nd Ave,New Hyde Park,11040
Sam Deli,3459 Broadway,New York,10031
Sam Organic Deli,340 Grand St,Brooklyn,11211
Santa Barbara,551 E 11th St,New York,10009
Savory Deli & Grocery,1840 Amsterdam Ave,New York,10031
Sheen Brothers,157 Ave B,New York,10009
Sheepshead Bay Fruit & Vegetable,1717 Avenue Z,Brooklyn,11235
Shell Gas,2001 Cropsey Ave,Brooklyn,11214
Shop Fair - Yonkers,113 New Main St,Yonkers,10701
Shop Fair Supermarket,1125 Fulton St,Brooklyn,11238
Shop Fair Supermarket,Adam Clayton Powell Jr Blvd,New York,10027
Shop Fair,306 E 170th St,Bronx,10456
Shop N Click,161-01 Northern Blvd,Flushing,11358
Smile To Go Flatiron,23 Lexington Ave,New York,10010
Smoke Shop Queens Plaza,25-17 Queens Plz N,Long Island City,11101
Smoke Shop,61 Delancey St,New York,10002
Sodexho - Colgate Palmolive,300 Park Ave,New York,10022
Sodexho - Rosenman Kmz Rosenman,575 Madison Ave,New York,10022
Sodexo - Societe Generale Unit # 8833500,245 Park Ave,New York,10167
Soho Garden,40 Prince St,New York,10012
Soho News International,186 Prince St,New York,10012
Sohos Finest Market,17 Thompson St,New York,10013
South Brooklyn Beverage Inc.,1407 E 22nd St,Brooklyn,11210
