name,address,borough,zip
Galaxy Gourmet Deli,3778 Broadway,New York,10032
Yummilicious Deli Corp,4119 Broadway,New York,10033
Exquisite Grill Deli,521 Lenox Ave,New York,10037
Super Foodtown,600 W 160th St,New York,10032
Bravo Grand Concourse,2285 Grand Concourse,Bronx,10453
Broadway Finest,3620 Broadway,New York,10031
Moca Deli Grocery,4183 Broadway,New York,10033
Moca Deli,4183 Vroadway,Manhattan,10033
Q Mart,4311 Broadway,New York,10033
Associated Supermarket,448 Lenox Ave,New York,10037
1613 Food Deli,1613 St Nicholas Ave,New York,10040
Cvs#10827,3535 Broadway,New York,10031
Cafe One,1619 Amsterdam Ave,New York,10031
Bp - Crossbronx,1730 Cross Bronx Expwy,Bronx,10472
Broadway Wholesome Food & Beer,3578 Broadway,New York,10031
Bp Gas,4353 Broadway,New York,10033
Cvs#2438,282 E 149th St,Bronx,10451
Target,700 Exterior St,Bronx,10451
Qnn Food,107 E 125th St,New York,10035
Target,517 E 117th St,New York,10035
City Fresh Market - 2212 3rd Ave,2212 3rd Ave,New York,10035
7-11 #39084,557 Grand Concourse,Bronx,10451
Foodtown,2211 3rd Ave,New York,10035
7-11 #37116,2256 2nd Ave,New York,10029
7-eleven,2256 Second Ave,New York,10029
City Fresh Market -125 East 116,125 E 116th St,New York,10029
Food Bazaar #18,238 E 161st St,Bronx,10451
Cvs#2430,224 E 161st St,Bronx,10451
Food Bazaar #42,445 E 163rd St,Bronx,10451
Associated Supermarket,448 Lenox Ave,New York,10037
149 Deli,395 E 149th St,Bronx,10455
Exquisite Grill Deli,521 Lenox Ave,New York,10037
Cvs#2737,115 W 125th St,New York,10027
Healthy Choice,1776 Madison Ave,New York,10035
Cherry Valley,20-16 21st St,Astoria,11105
Americo Gas,1264 Randall Ave,Bronx,10474
7-11 #37688,1400 5th Ave,New York,10026
Fine Fare,1718 Madison Ave,New York,10029
Cherry Valley,20-16 21st Ave,Astoria,11105
Key Food,881 Gerard Ave,Bronx,10452
Esayi Pizza & Deli,2461 Adam Clayton Powell Jr Blvd,New York,10030
Fine Fare - 1065 East 163 St,1065 E 163rd St,Bronx,10459
Fine Fair,136 Lenox Ave,New York,10026
Cvs#3224,130 Lenox Ave,New York,10026
Nyc Fresh Market,1660 Madison Ave,New York,10029
Aramark- Barnard College,2nd Floor,New York,10027
7-11 #37176,2726 Fredrick Douglas Blvd,New York,10030
Foodtown #609 Psk,300 W 145th St,New York,10039
Nsa - 1635 Lexington Avenue,1635 Lexington Ave,New York,10029
Shop Fair Supermarket,Adam Clayton Powell Jr Blvd,New York,10027
7-11 #37104,1642 Lexington Ave,New York,10029
Daves Gourmet,1944 1st Ave,New York,10029
Omega Salad Bar & Deli,351 W 125th St,New York,10027
Family Community Deli & Luncheonette Cor,41 Saint Nicholas Ter,New York,10027
Cvs #10112,W 125th St & St Nicholas Ave,New York,10027
Eleganza Gourmet,1 Convent Ave,New York,10027
Verdi Fresh,21-01 31st St,Astoria,11105
Best Yet,2187 8th Ave,New York,10026
Foodtown,756 St Nicholas Ave,Nyc,10027
Best Yet Market,19-30 37th St,Astoria,11105
7-11 #37194,256 W 116th St,New York,10026
Sterling Affair - Ny Academy Of Medicine,1216 5th Ave,New York,10029
Gulf Gas,1419 Bruckner Blvd,Bronx,10472
Campus Deli,1606 Amsterdam Ave,New York,10031
Cafe One,1619 Amsterdam Ave,New York,10031
Cvs #10112,W 125th St & Saint Nicholas Ave,New York,10027
149 Deli,395 E 149th St,Bronx,10455
Cvs#2438,282 E 149th St,Bronx,10451
Food Bazaar #42,445 E 163rd St,Bronx,10451
Food Bazaar #18,238 E 161st St,Bronx,10451
Fine Fare - 1065 East 163 St,1065 E 163rd St,Bronx,10459
7-11 #39084,557 Grand Concourse,Bronx,10451
Americo Gas,1264 Randall Ave,Bronx,10474
Target,700 Exterior St,Bronx,10451
Food Bazaar #30,535 E 170th St,Bronx,10456
Key Food,881 Gerard Ave,Bronx,10452
Gulf Gas,1419 Bruckner Blvd,Bronx,10472
Shop Fair,306 E 170th St,Bronx,10456
Cvs#8969,50 E 167th St,Bronx,10452
Exquisite Grill Deli,521 Lenox Ave,New York,10037
Qnn Food,107 E 125th St,New York,10035
Esayi Pizza & Deli,2461 Adam Clayton Powell Jr Blvd,New York,10030
Associated Supermarket,448 Lenox Ave,New York,10037
Foodtown #609 Psk,300 W 145th St,New York,10039
City Fresh Market - 2212 3rd Ave,2212 3rd Ave,New York,10035
Target,517 E 117th St,New York,10035
Foodtown,756 St Nicholas Ave,Nyc,10027
Cvs#2737,115 W 125th St,New York,10027
Cvs#2430,224 E 161st St,Bronx,10451
